epoch,batch_idx,global_step,G_loss,D_loss,LSGAN_G,FM,CC,grad_norm_G,grad_norm_D,lr,time_s,peak_alloc_GB,peak_reserved_GB
1,0,0,6.987879276275635,2.2653887271881104,1.3395360708236694,4.647980690002441,1.0003623962402344,,,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,1,1,6.286086082458496,2.4334542751312256,1.2145841121673584,4.056399345397949,1.0151022672653198,1.0,1.0,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,2,2,7.416152477264404,2.6533796787261963,1.5699028968811035,4.861573219299316,0.9846762418746948,1.0000001192092896,1.0,1e-05,1.1920928955078125e-06,2.823675904,3.254779904
1,3,3,5.635980606079102,2.618807077407837,1.1341028213500977,3.5398359298706055,0.9620419144630432,1.0,0.9999999403953552,1e-05,8.106231689453125e-06,2.823675904,3.254779904
1,4,4,6.488431453704834,2.223475933074951,1.4129116535186768,4.045567512512207,1.0299525260925293,1.0,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,5,5,4.950462341308594,2.4448423385620117,1.4117536544799805,2.624009847640991,0.9146988391876221,1.0000001192092896,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,6,6,6.721493244171143,2.245290994644165,1.0664002895355225,4.684796333312988,0.9702963829040527,1.0,0.9999999403953552,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,7,7,5.708133697509766,2.983004570007324,1.9637095928192139,2.780273914337158,0.9641502499580383,0.9999999403953552,,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,8,8,5.320836544036865,2.1481471061706543,1.084449052810669,3.261052370071411,0.9753350019454956,1.0000001192092896,1.0000001192092896,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,9,9,6.036789894104004,2.3768908977508545,1.2689889669418335,3.7406728267669678,1.0271284580230713,1.0,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,10,10,4.119861602783203,2.2633302211761475,1.3856265544891357,1.7439296245574951,0.9903056025505066,0.9999999403953552,1.0000001192092896,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,11,11,7.774757385253906,2.4074625968933105,1.1633334159851074,5.5378265380859375,1.0735976696014404,0.9999999403953552,0.9999999403953552,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,12,12,5.027413368225098,2.692659854888916,1.5546215772628784,2.456474542617798,1.0163174867630005,1.0,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,13,13,5.353845596313477,2.016615867614746,0.9854284524917603,3.3862051963806152,0.9822120070457458,1.0,1.0,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,14,14,5.149407386779785,3.0065293312072754,1.300290584564209,2.9134469032287598,0.9356697797775269,1.0,0.9999999403953552,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,15,15,6.128500938415527,3.1354594230651855,1.4847110509872437,3.7105841636657715,0.9332058429718018,1.0,1.0000001192092896,1e-05,1.1920928955078125e-06,2.823675904,3.254779904
1,16,16,6.54551362991333,3.023235321044922,1.8135910034179688,3.75645112991333,0.9754716753959656,1.0,0.9999999403953552,1e-05,1.1920928955078125e-06,2.823675904,3.254779904
1,17,17,5.391170024871826,2.3696517944335938,1.1174967288970947,3.2651376724243164,1.0085357427597046,1.0000001192092896,1.0,1e-05,2.384185791015625e-06,2.823675904,3.254779904
1,18,18,5.350735187530518,2.3339719772338867,1.3164530992507935,3.021806478500366,1.0124753713607788,1.0,1.0000001192092896,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,19,19,5.620423793792725,2.456843376159668,0.9398283958435059,3.7635910511016846,0.9170039296150208,1.0,1.0,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,20,20,5.153280258178711,2.300541400909424,1.5392780303955078,2.657731056213379,0.9562709331512451,1.0,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,21,21,4.49025821685791,2.4175100326538086,1.4137622117996216,2.073762893676758,1.0027331113815308,1.0,1.0,1e-05,4.76837158203125e-07,2.823675904,3.254779904
1,22,22,4.140101432800293,2.421696186065674,1.3055068254470825,1.8452975749969482,0.9892969131469727,1.0,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,23,23,3.691648244857788,2.2974050045013428,0.9711887836456299,1.7510855197906494,0.969373881816864,0.9999999403953552,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,24,24,5.66745662689209,2.781529426574707,1.2278374433517456,3.456761360168457,0.9828578233718872,0.9999999403953552,0.9999999403953552,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,25,25,4.775238990783691,2.742337465286255,1.2448995113372803,2.5195770263671875,1.0107624530792236,1.0,0.9999999403953552,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,26,26,5.181751251220703,2.690898895263672,1.3215409517288208,2.86055326461792,0.9996572732925415,1.0,1.0,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,27,27,4.897465229034424,2.442192792892456,1.3998615741729736,2.520291566848755,0.977311909198761,1.0,0.9999999403953552,1e-05,7.152557373046875e-07,2.823675904,3.254779904
1,28,28,4.6918535232543945,2.399709701538086,1.0682827234268188,2.6570677757263184,0.966503381729126,1.0,0.9999999403953552,1e-05,9.5367431640625e-07,2.823675904,3.254779904
1,29,29,6.40534782409668,2.441732406616211,1.147592544555664,4.234596252441406,1.0231587886810303,1.0,1.0,1e-05,9.5367431640625e-07,2.823675904,3.254779904
