epoch,train_loss,val_loss,lr
1,0.40073449493199587,0.24124335604906083,3.2500000000000004e-05
2,0.320463805988431,0.1694398080781102,5.500000000000001e-05
3,0.20036511745676397,0.13950033317506313,7.75e-05
4,0.08525343133509158,0.05366100376937538,0.0001
5,0.02040330073540099,0.0052016369217308235,7.75e-05
6,0.0050378007816616445,0.013188433419447393,5.500000000000001e-05
7,0.00354190633338294,0.013361549059860409,3.2500000000000004e-05
8,0.00301388669636799,0.00351796296343673,1e-05
9,0.00222370184015017,0.008971733563404995,3.2500000000000004e-05
10,0.0032046546503552236,0.007753496412653476,5.500000000000001e-05
11,0.0034812649641535244,0.004865850598900579,7.75e-05
12,0.003150615370919695,0.012182859724911396,0.0001
13,0.002800419411796611,0.0035939359703334047,7.75e-05
14,0.0022434945850982333,0.0015142900099162943,5.500000000000001e-05
15,0.002595390170943574,0.010116373434721026,3.2500000000000004e-05
16,0.0020165707889827898,0.0068198870404157785,1e-05
17,0.0013220853504899424,0.0031964359459816477,3.2500000000000004e-05
18,0.002312233431075583,0.005003481734544039,5.500000000000001e-05
19,0.003908907061864739,0.004416552305978257,7.75e-05
20,0.002560117761575384,0.001155059000768233,0.0001
21,0.004322746288526105,0.003931434761267155,7.75e-05
22,0.002060060285657528,0.0027287687323987483,5.500000000000001e-05
23,0.0022170838641759473,0.005000258534331806,3.2500000000000004e-05
24,0.0017613864518498303,0.0013621858890401199,1e-05
25,0.0012434350536059354,0.0035042058008257298,3.2500000000000004e-05
26,0.0018929942806425971,0.004823739538027439,5.500000000000001e-05
27,0.0034263894065807107,0.0018092760663712397,7.75e-05
28,0.0035597421763523015,0.010472399806021713,0.0001
29,0.0025746222367743032,0.005699171960470267,7.75e-05
30,0.003123238990054233,0.005229577840073035,5.500000000000001e-05
