epoch,train_loss,val_loss,lr
1,0.5280837202072144,0.5364695766568184,3.2500000000000004e-05
2,0.43562094956636427,0.4108091683357954,5.500000000000001e-05
3,0.41011155530810356,0.5309278519362212,7.75e-05
4,0.3929155698418617,0.5081123015135527,0.0001
5,0.37359006717801096,0.6110546848446131,7.75e-05
6,0.357806788533926,0.3918394462570548,5.500000000000001e-05
7,0.34565621107816696,0.33263163379281757,3.2500000000000004e-05
8,0.3393517343699932,0.2894117763444781,1e-05
9,0.3351066225767136,0.3668166512683034,3.2500000000000004e-05
10,0.3305322229862213,0.3720202329531312,5.500000000000001e-05
11,0.3247482007741928,0.4730049779683351,7.75e-05
12,0.31591624304652216,0.31975023444890976,0.0001
13,0.30284889206290244,0.6516337578952313,7.75e-05
14,0.28979399904608727,0.16402148099541664,5.500000000000001e-05
15,0.27818131268024443,0.21189720800817013,3.2500000000000004e-05
16,0.271034464687109,0.23144823223352431,1e-05
17,0.2672144179046154,0.3084369562000036,3.2500000000000004e-05
18,0.2647610780596733,0.3189674318790436,5.500000000000001e-05
19,0.25826065480709076,0.19960072047561406,7.75e-05
20,0.24882114745676517,0.13862109350562096,0.0001
21,0.23906327962875365,0.141498427452147,7.75e-05
22,0.22636349841952325,0.14152222939878703,5.500000000000001e-05
23,0.21688278302550315,0.14400714480504392,3.2500000000000004e-05
24,0.21182868406176567,0.14927170786708593,1e-05
25,0.20844376318156718,0.17081838877499103,3.2500000000000004e-05
26,0.20565470203757286,0.09368828527331352,5.500000000000001e-05
27,0.20108712561428546,0.141548579210788,7.75e-05
28,0.1937969022244215,0.1659151609480381,0.0001
29,0.1854535036534071,0.12868708667457104,7.75e-05
30,0.17419059708714485,0.11581389279216528,5.500000000000001e-05
